Description,total_revenue,total_qty,n_customers,avg_price
REGENCY CAKESTAND 3 TIER,277656.25,24139,1314,12.454180401558286
WHITE HANGING HEART T-LIGHT HOLDER,247048.01,91757,1490,2.870665869218501
"PAPER CRAFT , LITTLE BIRDIE",168469.6,80995,1,2.08
Manual,151777.67,9391,443,212.6005668604651
JUMBO BAG RED RETROSPOT,134307.44,74224,860,1.9738697463082164
POSTAGE,124648.04,5235,405,29.938874098724348
ASSORTED COLOUR BIRD ORNAMENT,124351.86,78234,1010,1.6761515601783061
PARTY BUNTING,103283.38,23464,894,4.770638399237732
MEDIUM CERAMIC TOP STORAGE JAR,81416.73000000001,77916,138,1.2203030303030302
PAPER CHAIN KIT 50'S CHRISTMAS ,76598.18000000001,28380,896,2.9196085204375364
CHILLI LIGHTS,69084.3,14843,304,5.146038961038961
JUMBO BAG STRAWBERRY,64127.77,35842,549,1.9569180327868854
BLACK RECORD COVER FRAME,63092.12,18417,198,3.6303696857670977
ROTATING SILVER ANGELS T-LIGHT HLDR,55880.17,28606,300,2.5669636363636363
WOOD BLACK BOARD ANT WHITE FINISH,54525.36,9678,451,6.962461832061068
VINTAGE UNION JACK BUNTING,54432.62,6497,583,8.499444933920705
EDWARDIAN PARASOL NATURAL,54332.61,10948,347,5.787598152424943
JUMBO  BAG BAROQUE BLACK WHITE,52188.18,28899,506,1.9575478142076501
RABBIT NIGHT LIGHT,51251.24,27153,450,2.0127703523693805
HEART OF WICKER LARGE,49859.5,17104,827,2.944598990465508
RED HANGING HEART T-LIGHT HOLDER,48850.6,17228,744,2.9157650602409637
JUMBO STORAGE BAG SUKI,47760.99,25970,546,1.9728645833333334
CREAM HEART CARD HOLDER,47414.200000000004,15946,536,3.8781657848324516
EDWARDIAN PARASOL BLACK,45885.07,9351,321,5.794080100125157
VICTORIAN GLASS HANGING T-LIGHT,45746.75,37285,593,1.3451874573960465
CHOCOLATE HOT WATER BOTTLE,45601.340000000004,9904,631,4.878344733242134
JUMBO SHOPPER VINTAGE RED PAISLEY,45059.13,24295,658,1.980715552927262
PAPER CHAIN KIT VINTAGE CHRISTMAS,44998.270000000004,16469,701,2.9220930232558144
VINTAGE UNION JACK MEMOBOARD,44785.83,6125,311,9.774549098196394
PLEASE ONE PERSON METAL SIGN,44310.600000000006,22379,562,2.0730530035335692
JUMBO BAG PINK POLKADOT,43319.16,23572,432,2.0029119850187267
HEART OF WICKER SMALL,43316.54,26193,886,1.6381823174080175
JUMBO BAG PINK VINTAGE PAISLEY,43313.9,24108,504,1.9750485436893204
BAKING SET 9 PIECE RETROSPOT ,43070.91,9035,1137,4.9517741015402175
RED RETROSPOT CAKE STAND,42862.74,4300,502,10.85839756592292
SCOTTIE DOG HOT WATER BOTTLE,42463.200000000004,9092,717,4.893550577053632
HOME BUILDING BLOCK WORD,42453.11,7231,682,5.963963282937365
RED TOADSTOOL LED NIGHT LIGHT,41824.26,27102,415,1.6490377358490567
GIN + TONIC DIET METAL SIGN,40940.78,19755,543,2.259413027916965
NATURAL SLATE HEART CHALKBOARD ,40276.170000000006,14187,874,2.9584354154032746
ROUND SNACK BOXES SET OF4 WOODLAND ,40219.82,14630,439,2.9324567474048444
DOORMAT UNION FLAG,40053.72,6146,467,7.668266818700114
WOODEN FRAME ANTIQUE WHITE ,39909.170000000006,14368,631,2.8997430167597766
LUNCH BAG  BLACK SKULL.,39904.0,25392,705,1.6399951100244499
RED  HARMONICA IN BOX ,39870.65,35229,467,1.2519775280898877
COLOUR GLASS. STAR T-LIGHT HOLDER,39822.34,13874,298,3.192735562310031
STRAWBERRY CERAMIC TRINKET BOX,39682.67,33899,683,1.2356750941366326
PICNIC BASKET WICKER 60 PIECES,39619.5,61,1,649.5
COOK WITH WINE METAL SIGN ,37029.340000000004,19652,475,1.977408906882591
WOODEN PICTURE FRAME WHITE FINISH,37011.1,15643,601,2.564078947368421
